Date,Open,High,Low,Close,Adj Close,Volume
1970-12-31,7.471955,7.572115,7.471955,7.522035,1.607411,287040
1971-01-04,7.522035,7.572115,7.471955,7.522035,1.607411,338208
1971-01-05,7.522035,7.562099,7.471955,7.562099,1.615972,182208
1971-01-06,7.562099,7.572115,7.461939,7.491987,1.600990,326976
1971-01-07,7.491987,7.522035,7.451923,7.522035,1.607411,302016
1971-01-08,7.512019,7.512019,7.471955,7.502003,1.603131,235872
1971-01-11,7.502003,7.522035,7.471955,7.512019,1.605270,435552
1971-01-12,7.512019,7.542067,7.502003,7.522035,1.607411,309504
1971-01-13,7.522035,7.542067,7.491987,7.502003,1.603131,385632
1971-01-14,7.502003,7.612179,7.481971,7.572115,1.618113,421824
1971-01-15,7.572115,7.652244,7.562099,7.632212,1.630956,529152
1971-01-18,7.632212,7.642228,7.612179,7.632212,1.630956,368160
1971-01-19,7.632212,7.682292,7.632212,7.682292,1.641657,252096
1971-01-20,7.682292,7.732372,7.682292,7.722356,1.650218,285792
1971-01-21,7.722356,8.042869,7.702324,8.022837,1.714429,1087008
1971-01-22,8.293269,8.373397,8.293269,8.313301,1.776499,1059552
1971-01-25,8.313301,8.523638,8.193109,8.453526,1.806464,1688544
1971-01-26,8.403446,8.403446,8.293269,8.293269,1.772218,656448
1971-01-27,8.062901,8.062901,7.942708,8.022837,1.714429,1394016
1971-01-28,8.022837,8.032853,7.912660,8.002804,1.710149,606528
1971-01-29,7.972756,7.972756,7.882612,7.952724,1.699446,601536
1971-02-01,7.952724,8.413462,7.942708,8.393429,1.793623,1309152
1971-02-02,8.353365,8.353365,8.173077,8.223157,1.757237,1033344
1971-02-03,8.223157,8.333333,8.223157,8.253205,1.763658,928512
1971-02-04,8.253205,8.333333,8.203125,8.293269,1.772218,638976
1971-02-05,8.293269,8.393429,8.233173,8.293269,1.772218,770016
1971-02-08,8.293269,8.483574,8.213141,8.433494,1.802185,908544
1971-02-09,8.433494,8.463542,8.333333,8.333333,1.780780,567840
1971-02-10,8.333333,8.413462,8.283253,8.393429,1.793623,630240
